situation_id,trajectory_id,distance,wind,precipitation,fuel,time,score
29,0,802.64,4.984,0.030000000000000002,802.64,57.34,859.98
29,1,916.15,5.832307692307692,0.02076923076923077,916.15,64.92,981.0699999999999
29,2,903.83,3.9723076923076923,0.02076923076923077,903.83,65.2,969.0300000000001
30,0,1427.49,2.8826666666666667,0.014,1427.49,104.06,1531.55
30,1,1444.02,2.3830769230769233,0.0,1444.02,105.78,1549.8
30,2,1448.91,3.12,0.06461538461538462,1448.91,105.38,1554.29
31,0,988.33,2.529333333333333,0.0,988.33,72.3,1060.63
31,1,1141.63,4.0346153846153845,0.12307692307692308,1141.63,82.3,1223.93
31,2,1145.15,3.016153846153846,0.03153846153846154,1145.15,83.37,1228.52
32,0,1595.41,3.4926666666666666,0.0,1595.41,115.62,1711.0300000000002
32,1,1647.51,3.6384615384615384,0.01,1647.51,119.23,1766.74
32,2,1643.68,3.19,0.0,1643.68,119.46,1763.14
33,0,472.42,1.3326666666666669,0.0,472.42,34.97,507.39
33,1,731.52,3.8015384615384615,0.0,731.52,52.85,784.37
33,2,727.37,2.517692307692308,0.0,727.37,53.21,780.58
34,0,792.05,4.260666666666666,0.0,792.05,56.98,849.03
34,1,843.51,4.392307692307693,0.0,843.51,60.6,904.11
34,2,839.71,3.987692307692308,0.0,839.71,60.56,900.27
35,0,1449.32,4.167333333333334,0.0,1449.32,104.35,1553.6699999999998
35,1,1492.01,3.647692307692308,0.0,1492.01,107.96,1599.97
35,2,1481.89,2.880769230769231,0.03769230769230769,1481.89,108.03,1589.92
36,0,1004.77,3.344,0.058,1004.77,72.92,1077.69
36,1,1072.47,3.221538461538462,0.0,1072.47,77.92,1150.39
36,2,1070.9,2.9353846153846157,0.0,1070.9,78.03,1148.93
37,0,1485.34,2.9953333333333334,0.008666666666666666,1485.34,108.16,1593.5
37,1,1558.71,3.1223076923076927,0.0,1558.71,113.36,1672.07
37,2,1573.97,3.2761538461538464,0.0,1573.97,114.3,1688.27
38,0,1062.96,4.6,0.09066666666666667,1062.96,76.22,1139.18
38,1,1105.58,3.063076923076923,0.08615384615384616,1105.58,80.45,1186.03
38,2,1103.28,2.8446153846153845,0.08615384615384616,1103.28,80.46,1183.74
39,0,1236.54,4.062,0.13533333333333336,1236.54,89.12,1325.6599999999999
39,1,1272.43,2.983846153846154,0.02076923076923077,1272.43,92.67,1365.1000000000001
39,2,1265.76,2.52,0.007692307692307693,1265.76,92.6,1358.36
41,0,1174.31,3.1093333333333333,0.0,1174.31,85.42,1259.73
41,1,1187.18,3.4153846153846152,0.03461538461538462,1187.18,86.1,1273.28
41,2,1191.95,3.2915384615384613,0.0,1191.95,86.55,1278.5
42,0,5263.88,4.896,0.0,5263.88,376.36,5640.24
42,1,5222.01,4.1230769230769235,0.0,5222.01,376.14,5598.150000000001
42,2,5289.02,4.601538461538461,0.0,5289.02,379.23,5668.25
44,0,7996.69,4.481333333333334,0.0,7996.69,574.03,8570.72
44,1,7988.72,4.516153846153847,0.0,7988.72,573.26,8561.98
44,2,7954.53,4.04,0.008461538461538461,7954.53,573.42,8527.949999999999
45,0,705.7,3.7733333333333334,0.0,705.7,51.0,756.7
